,DATE,Housing Price Index,Hurricane,Hurricane Date,Location,Delta
26,2001-01-01,106.08,Rita,2005-09-18,Houston Area,-4.715068493150685
27,2002-01-01,110.39,Rita,2005-09-18,Houston Area,-3.7150684931506848
28,2003-01-01,113.49,Rita,2005-09-18,Houston Area,-2.7150684931506848
29,2004-01-01,117.15,Rita,2005-09-18,Houston Area,-1.715068493150685
30,2005-01-01,121.9,Rita,2005-09-18,Houston Area,-0.7123287671232876
31,2006-01-01,128.58,Rita,2005-09-18,Houston Area,0.2876712328767123
32,2007-01-01,135.19,Rita,2005-09-18,Houston Area,1.2876712328767124
33,2008-01-01,138.38,Rita,2005-09-18,Houston Area,2.287671232876712
34,2009-01-01,139.13,Rita,2005-09-18,Houston Area,3.2904109589041095
35,2010-01-01,137.76,Rita,2005-09-18,Houston Area,4.2904109589041095
36,2011-01-01,136.19,Rita,2005-09-18,Houston Area,5.2904109589041095
37,2012-01-01,139.33,Rita,2005-09-18,Houston Area,6.2904109589041095
38,2013-01-01,148.64,Rita,2005-09-18,Houston Area,7.293150684931507
39,2014-01-01,167.8,Rita,2005-09-18,Houston Area,8.293150684931506
40,2015-01-01,180.79,Rita,2005-09-18,Houston Area,9.293150684931506
41,2016-01-01,185.44,Rita,2005-09-18,Houston Area,10.293150684931506
42,2017-01-01,191.77,Rita,2005-09-18,Houston Area,11.295890410958904
43,2018-01-01,199.69,Rita,2005-09-18,Houston Area,12.295890410958904
44,2019-01-01,205.31,Rita,2005-09-18,Houston Area,13.295890410958904
45,2020-01-01,210.13,Rita,2005-09-18,Houston Area,14.295890410958904
