,DATE,Median,Hurricane,Hurricane Date,Location,Delta
12,2001-01-01,43279,Rita,2005-09-18,Houston Area,-4
13,2002-01-01,42704,Rita,2005-09-18,Houston Area,-3
14,2003-01-01,42262,Rita,2005-09-18,Houston Area,-2
15,2004-01-01,41922,Rita,2005-09-18,Houston Area,-1
16,2005-01-01,44085,Rita,2005-09-18,Houston Area,0
17,2006-01-01,47159,Rita,2005-09-18,Houston Area,0
18,2007-01-01,49977,Rita,2005-09-18,Houston Area,1
19,2008-01-01,52391,Rita,2005-09-18,Houston Area,2
20,2009-01-01,50577,Rita,2005-09-18,Houston Area,3
21,2010-01-01,50437,Rita,2005-09-18,Houston Area,4
22,2011-01-01,50924,Rita,2005-09-18,Houston Area,5
23,2012-01-01,51298,Rita,2005-09-18,Houston Area,6
24,2013-01-01,52533,Rita,2005-09-18,Houston Area,7
25,2014-01-01,54230,Rita,2005-09-18,Houston Area,8
26,2015-01-01,56670,Rita,2005-09-18,Houston Area,9
27,2016-01-01,56415,Rita,2005-09-18,Houston Area,10
28,2017-01-01,58664,Rita,2005-09-18,Houston Area,11
29,2018-01-01,60241,Rita,2005-09-18,Houston Area,12
30,2019-01-01,61638,Rita,2005-09-18,Houston Area,13
31,2020-01-01,61906,Rita,2005-09-18,Houston Area,14
