,DATE,MHITX48201A052NCEN,Hurricane,Hurricane Date,Location,Delta
12,2001-01-01,43279,Ike,2008-09-13,Galveston,-7.704109589041096
13,2002-01-01,42704,Ike,2008-09-13,Galveston,-6.704109589041096
14,2003-01-01,42262,Ike,2008-09-13,Galveston,-5.704109589041096
15,2004-01-01,41922,Ike,2008-09-13,Galveston,-4.704109589041096
16,2005-01-01,44085,Ike,2008-09-13,Galveston,-3.7013698630136984
17,2006-01-01,47159,Ike,2008-09-13,Galveston,-2.7013698630136984
18,2007-01-01,49977,Ike,2008-09-13,Galveston,-1.7013698630136986
19,2008-01-01,52391,Ike,2008-09-13,Galveston,-0.7013698630136986
20,2009-01-01,50577,Ike,2008-09-13,Galveston,0.3013698630136986
21,2010-01-01,50437,Ike,2008-09-13,Galveston,1.3013698630136987
22,2011-01-01,50924,Ike,2008-09-13,Galveston,2.3013698630136985
23,2012-01-01,51298,Ike,2008-09-13,Galveston,3.3013698630136985
24,2013-01-01,52533,Ike,2008-09-13,Galveston,4.304109589041096
25,2014-01-01,54230,Ike,2008-09-13,Galveston,5.304109589041096
26,2015-01-01,56670,Ike,2008-09-13,Galveston,6.304109589041096
27,2016-01-01,56415,Ike,2008-09-13,Galveston,7.304109589041096
28,2017-01-01,58664,Ike,2008-09-13,Galveston,8.306849315068494
29,2018-01-01,60241,Ike,2008-09-13,Galveston,9.306849315068494
30,2019-01-01,61638,Ike,2008-09-13,Galveston,10.306849315068494
31,2020-01-01,61906,Ike,2008-09-13,Galveston,11.306849315068494
